@relation 'golub-data-train-weka.filters.unsupervised.attribute.Remove-R2-7,9-12,14-19,21-22,24-26,28-29,32-35,38-40,42-44,46-48,50-52,54-55,57,59-60,62-74,76-78,81-7130_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1_clustered'

@attribute Instance_number numeric
@attribute '-0.375AFFX-HUMGAPDH/M33197_5_st-0.349AFFX-HUMTFRR/M11507_5_at+0.324Gene Accession Number=ALL-B-0.308AFFX-HUMISGF3A/M97935_5_at-0.297AFFX-HUMISGF3A/M97935_MA_at...' numeric
@attribute -0.349AFFX-M27830_M_at-0.343AFFX-HUMRGE/M10098_M_at-0.317AFFX-HUMGAPDH/M33197_3_at+0.312AFFX-HUMISGF3A/M97935_MA_at+0.283AFFX-HUMISGF3A/M97935_5_at... numeric
@attribute '-0.423A28102_at+0.369AFFX-ThrX-M_at+0.345Gene Accession Number=ALL-T+0.317AFFX-BioB-3_st+0.304AFFX-ThrX-5_at...' numeric
@attribute -0.457AFFX-DapX-3_at-0.394AFFX-BioB-3_st-0.379AFFX-PheX-5_at+0.367AFFX-BioDn-3_at-0.245AFFX-M27830_M_at... numeric
@attribute '0.459AFFX-HUMRGE/M10098_M_at+0.442Gene Accession Number=ALL-B+0.33 AFFX-HUMISGF3A/M97935_5_at-0.314AFFX-DapX-3_at-0.311Gene Accession Number=AML...' numeric
@attribute 0.455AFFX-BioDn-3_at+0.452AFFX-PheX-5_at-0.451AFFX-ThrX-5_at-0.322AFFX-HUMTFRR/M11507_5_at+0.221AFFX-HUMGAPDH/M33197_3_at... numeric
@attribute '0.45 hum_alu_at-0.342A28102_at-0.342AFFX-HUMGAPDH/M33197_3_st-0.326AFFX-ThrX-M_at+0.321Gene Accession Number=ALL-T...' numeric
@attribute 0.673AB001106_at+0.321AFFX-PheX-5_at+0.312A28102_at-0.288AFFX-HUMGAPDH/M33197_3_at+0.255AFFX-ThrX-M_at... numeric
@attribute -0.569AB000895_at-0.362A28102_at-0.271AFFX-ThrX-M_at-0.263hum_alu_at+0.258AFFX-HUMGAPDH/M33197_3_st... numeric
@attribute '0.442AFFX-BioDn-3_at+0.389AFFX-BioB-3_st-0.387Gene Accession Number=ALL-T+0.356hum_alu_at+0.27 AB001106_at...' numeric
@attribute '0.446AFFX-HUMISGF3A/M97935_MA_at+0.422AFFX-DapX-3_at+0.417A28102_at+0.33 AFFX-HUMGAPDH/M33197_3_at-0.286Gene Accession Number=AML...' numeric
@attribute '0.406AFFX-ThrX-5_at+0.36 AFFX-ThrX-M_at+0.34 AFFX-DapX-3_at+0.291AFFX-HUMRGE/M10098_M_at-0.285A28102_at...' numeric
@attribute 0.432AFFX-HUMRGE/M10098_M_at-0.41AFFX-PheX-5_at-0.35hum_alu_at-0.337AFFX-ThrX-5_at-0.289AFFX-HUMISGF3A/M97935_MA_at... numeric
@attribute -0.496AB000895_at+0.491AFFX-ThrX-M_at+0.336AFFX-HUMTFRR/M11507_5_at-0.254AFFX-ThrX-5_at-0.225AFFX-DapX-3_at... numeric
@attribute AB001325_at numeric
@attribute Cluster {cluster0,cluster1}

@data
18,0.876136,-0.071832,2.16752,-1.350658,1.155557,0.436191,-0.778172,-0.954981,-1.15946,1.097809,-0.539386,0.153434,-1.058988,0.637881,605,cluster1
19,1.886244,-0.10348,-1.204873,-0.168613,-0.756273,-0.100111,-0.211504,-0.855658,0.501632,0.629533,1.041089,-0.82442,0.833298,-0.165201,952,cluster0
20,3.552389,2.194053,1.101149,1.199482,0.035244,-0.016849,-1.98713,2.423802,-1.742936,0.640848,1.232653,-0.782695,0.446511,0.132477,920,cluster1
21,3.355131,1.924261,0.506782,-0.489561,0.292732,-1.293318,1.611178,1.523369,1.306788,0.354168,-0.687971,0.800639,-0.420782,-0.28436,502,cluster1
22,0.405422,-1.852057,0.812494,-2.665729,2.324522,0.710498,-0.439765,1.099569,-0.264709,-0.396343,-1.307951,0.620276,-0.128257,-0.273896,810,cluster1
23,1.785465,1.417955,0.063835,-1.623534,-0.12828,-0.590366,0.649762,-1.096175,0.506554,-0.767478,0.22322,-0.308024,0.119532,0.54933,833,cluster0
24,-0.601508,-2.101377,0.583527,-1.900818,0.859588,-0.766447,-2.1745,-0.398739,0.471924,0.894204,0.13502,-1.486063,-0.527752,-1.17235,847,cluster1
25,2.283036,0.884966,0.911302,-2.329444,0.035944,-0.267838,0.059671,-1.654031,0.369804,-1.037782,-0.411157,-0.504632,-0.45267,0.360523,646,cluster0
26,1.124772,-1.175005,-3.109259,2.529199,1.34314,0.98188,-0.639222,0.352492,0.080655,-0.188137,-0.108052,0.665443,-0.641565,0.33941,1561,cluster1
27,-0.821558,0.374462,-0.22205,-0.26104,-1.541797,1.109426,-1.337969,0.02102,0.316259,-0.05426,-0.451793,0.164838,-0.075275,-0.378637,992,cluster1
28,-1.251932,-0.010059,-3.22637,-1.334127,-1.00729,-0.531656,2.474818,1.423685,-0.239866,0.763248,-1.016311,-0.902828,-0.861078,0.006124,1187,cluster0
29,-1.538708,0.391626,0.308213,1.421261,-0.461814,1.115228,-0.036549,-1.612754,-0.66709,0.754997,-0.924672,1.085972,-0.68729,-0.141896,955,cluster1
30,-3.765639,2.286935,0.209963,-1.161183,0.348538,0.463082,-0.338713,-0.335619,-0.232132,-0.49918,0.568692,0.360447,-0.38746,-0.401711,1052,cluster0
31,-4.787502,0.79878,0.492549,-0.599452,-1.311713,-3.023161,-1.619478,0.683752,0.237363,0.808603,-0.363866,0.384219,0.700891,0.938614,1336,cluster0
32,-2.004978,1.325403,-0.034716,-0.069842,-0.841924,0.535676,-0.647862,-0.350665,0.479746,0.238008,-0.677666,0.49898,0.487433,0.737436,1081,cluster1
33,0.084237,1.481281,-0.827254,-1.284048,-1.606452,0.586722,1.013605,-0.964989,-1.468991,0.844768,-0.036727,0.416861,0.439945,0.051556,420,cluster0
34,0.18644,0.556612,-0.400242,0.044622,-2.169186,1.888361,-1.723592,1.03416,0.429656,0.341478,-0.631699,0.54129,0.493613,-0.368538,397,cluster1
35,-1.559289,-0.343208,-1.770759,-0.998902,-1.177967,-0.581275,0.030451,0.006551,-0.262251,-0.661676,-0.023523,0.118594,0.775101,0.094094,1003,cluster0
36,-0.556819,1.051579,-1.985787,-0.962611,-0.800832,1.681281,-0.631102,0.503263,-0.166241,-1.360693,-0.848006,-0.391442,0.564501,-0.581937,1278,cluster0
37,-5.368281,4.664497,-0.134237,0.646428,1.969803,0.446933,1.419189,0.162394,-0.004004,0.374708,1.691871,-0.387884,-0.754086,-0.714508,1968,cluster0
